id,fName,lName,email,username,password,average,speed,teamwork,clientInteraction,personal,rating
1,Adam , Abraham ,aabraham@yahoo.biz,aabrahamj1455,HW227MXG391L,3,4,4,3,1,4
2,Adrian , Allan ,aallan@yahoo.biz,aallann2045,CP622NRQ774Q,3,4,5,2,1,4
3,Alan , Alsop ,aalsop@yahoo.biz,aalsopi3440,CU898OJO899E,2.25,1,1,4,3,3
4,Alexander , Anderson ,aanderson@yahoo.biz,aandersony1783,HQ214YHF694F,2.5,2,1,2,5,2
5,Andrew , Arnold ,aarnold@yahoo.biz,aarnoldh7398,NK524TWX449I,2.5,1,1,5,3,3
6,Anthony , Avery ,aavery@yahoo.biz,aaverya8171,FW747QVS142W,3.25,5,1,4,3,4
7,Austin , Bailey ,abailey@yahoo.biz,abaileyh9606,NQ145ZND320Q,1.75,3,1,1,2,1
8,Benjamin , Baker ,bbaker@yahoo.biz,bbakerc4380,LO828BYN439I,3.25,5,5,2,1,4
9,Blake , Ball ,bball@yahoo.biz,bballo8716,WS525XNM699J,3,3,5,2,2,4
10,Boris , Bell ,bbell@yahoo.biz,bbella2533,SU328YRJ491I,2,3,1,1,3,2
11,Brandon , Berry ,bberry@yahoo.biz,bberryx9928,PL364ALL251T,2.75,4,2,1,4,2
12,Brian , Black ,bblack@yahoo.biz,bblackq7878,YE437KWL395L,2.75,2,4,2,3,3
13,Cameron , Blake ,cblake@yahoo.biz,cblakeo2195,AV735YJD748W,3.25,1,4,4,4,4
14,Carl , Bond ,cbond@yahoo.biz,cbondj3455,FM549MSK314U,2.75,3,1,4,3,3
15,Charles , Bower ,cbower@yahoo.biz,cbowerj2205,QZ971LYH955E,3.25,4,5,2,2,4
16,Christian , Brown ,cbrown@yahoo.biz,cbrowns5569,DT687DDI577J,3.25,3,3,3,4,4
17,Christopher , Buckland ,cbuckland@yahoo.biz,cbucklandx5020,PU178CPZ266U,3,2,2,5,3,4
18,Colin , Burgess ,cburgess@yahoo.biz,cburgesso4077,SK785CLY864A,2.75,4,1,1,5,2
19,Connor , Butler ,cbutler@yahoo.biz,cbutlerh9871,RU564CSJ870Z,3.75,2,3,5,5,5
20,Dan , Cameron ,dcameron@yahoo.biz,dcameronc8917,NU397XIO950B,2.25,5,1,1,2,2
21,David , Campbell ,dcampbell@yahoo.biz,dcampbellq5745,PA873POY859B,3,2,5,3,2,4
22,Dominic , Carr ,dcarr@yahoo.biz,dcarrw5239,NH487EZO958X,3.25,3,4,4,2,4
23,Dylan , Chapman ,dchapman@yahoo.biz,dchapmanv3354,CC663QYW293L,3,4,1,5,2,4
24,Edward , Churchill ,echurchill@yahoo.biz,echurchillc4964,FK236TJP333D,3,5,4,2,1,4
25,Eric , Clark ,eclark@yahoo.biz,eclarkt8872,TS697DQJ897I,1.75,1,2,2,2,2
26,Evan , Clarkson ,eclarkson@yahoo.biz,eclarksonz2819,SK281KCU463U,1.75,1,3,1,2,2
27,Frank , Coleman ,fcoleman@yahoo.biz,fcolemanz3244,GV416ZVY225C,1.75,1,3,1,2,2
28,Gavin , Cornish ,gcornish@yahoo.biz,gcornishn8647,ZQ593BKX350W,3.75,4,4,5,2,5
29,Gordon , Davidson ,gdavidson@yahoo.biz,gdavidsonu9501,SZ493LNH966D,2.75,3,2,4,2,3
30,Harry , Davies ,hdavies@yahoo.biz,hdaviesi5486,PV305KXC342A,4,5,2,5,4,5
31,Ian , Dickens ,idickens@yahoo.biz,idickensf5005,LL469SXT141R,3.5,3,5,2,4,4
32,Isaac , Dowd ,idowd@yahoo.biz,idowdz8404,DJ776FGH309A,2.75,1,2,3,5,3
33,Jack , Duncan ,jduncan@yahoo.biz,jduncang6362,PF755OJU689R,2,4,1,1,2,2
34,Jacob , Dyer ,jdyer@yahoo.biz,jdyere5202,YH468FFL177C,3.25,5,1,3,4,3
35,Jake , Edmunds ,jedmunds@yahoo.biz,jedmundsq4735,TQ423LAL781K,2.75,3,4,1,3,3
36,James , Ellison ,jellison@yahoo.biz,jellisont8542,WU337YZX192Y,4,1,5,5,5,5
37,Jason , Ferguson ,jferguson@yahoo.biz,jfergusonw6012,QS997CPI254D,3.75,2,5,3,5,5
38,Joe , Fisher ,jfisher@yahoo.biz,jfisherp6342,XJ416AAS855P,2.5,2,2,3,3,3
39,John , Forsyth ,jforsyth@yahoo.biz,jforsythv2539,RB787GQN530K,4.25,5,3,5,4,5
40,Jonathan , Fraser ,jfraser@yahoo.biz,jfraserw7413,MB151FAF747O,3.25,5,3,1,4,3
41,Joseph , Gibson ,jgibson@yahoo.biz,jgibsonu6350,QE624FRG416Q,3.25,4,5,3,1,5
42,Joshua , Gill ,jgill@yahoo.biz,jgillm7953,QP608YWP315A,2.5,3,3,1,3,3
43,Julian , Glover ,jglover@yahoo.biz,jgloverz7173,AU843XBG151P,3.5,4,4,2,4,4
44,Justin , Graham ,jgraham@yahoo.biz,jgrahami4026,YP229NEV357N,3.5,2,2,5,5,4
45,Keith , Grant ,kgrant@yahoo.biz,kgrants3449,QT932XCA497E,1.75,2,1,3,1,2
46,Kevin , Gray ,kgray@yahoo.biz,kgrayv1468,KQ237VPE224O,1.25,1,1,2,1,1
47,Leonard , Greene ,lgreene@yahoo.biz,lgreenee1723,GX273BNR575D,3.5,5,1,5,3,4
48,Liam , Hamilton ,lhamilton@yahoo.biz,lhamiltonc4208,QW460WUH376X,3.75,4,3,5,3,5
49,Lucas , Hardacre ,lhardacre@yahoo.biz,lhardacrez9404,ZU799DRA142D,2.75,2,2,4,3,3
50,Luke , Harris ,lharris@yahoo.biz,lharrisk2303,NM962AMV163R,2.75,1,3,3,4,3
51,Matt , Hart ,mhart@yahoo.biz,mharte9455,WJ122ALP870X,4,2,5,4,5,5
52,Max , Hemmings ,mhemmings@yahoo.biz,mhemmingsb9568,SN131DDX679L,3,3,4,1,4,3
53,Michael , Henderson ,mhenderson@yahoo.biz,mhendersonj3462,UK644XQG302X,3.5,5,2,5,2,4
54,Nathan , Hill ,nhill@yahoo.biz,nhillc7558,DK652SPM519D,3.25,5,2,5,1,4
55,Neil , Hodges ,nhodges@yahoo.biz,nhodgess5956,OQ127DYR173V,3,3,1,4,4,3
56,Nicholas , Howard ,nhoward@yahoo.biz,nhowardi2637,KA641IKW774C,3,4,2,4,2,4
57,Oliver , Hudson ,ohudson@yahoo.biz,ohudsono7009,ZH390MLZ265B,3.25,4,4,1,4,3
58,Owen , Hughes ,ohughes@yahoo.biz,ohughest1804,VJ366XJC493B,3.5,5,3,4,2,4
59,Paul , Hunter ,phunter@yahoo.biz,phuntero1550,JI370XMV377O,1.75,3,2,1,1,2
60,Peter , Ince ,pince@yahoo.biz,pincev3960,SY971BJR477E,3.25,5,4,2,2,4
61,Phil , Jackson ,pjackson@yahoo.biz,pjacksonm2718,DN602QZJ353N,1.25,1,2,1,1,1
62,Piers , James ,pjames@yahoo.biz,pjamesi2742,LS789WVR944S,2.75,1,5,3,2,4
63,Richard , Johnston ,rjohnston@yahoo.biz,rjohnstonb3549,UX631NQG110C,4.25,4,5,5,3,6
64,Robert , Jones ,rjones@yahoo.biz,rjonesm3350,OG937BUL235E,2,1,2,3,2,2
65,Ryan , Kelly ,rkelly@yahoo.biz,rkellyz3545,EZ619UML982P,2.5,4,1,4,1,3
66,Sam , Kerr ,skerr@yahoo.biz,skerrr1180,TT800KYV994M,3.25,5,3,1,4,3
67,Sean , King ,sking@yahoo.biz,skinga4539,SJ398TGG625I,2.5,2,4,1,3,3
68,Sebastian , Knox ,sknox@yahoo.biz,sknoxd5156,JV861AGD146V,3.25,1,5,2,5,4
69,Simon , Lambert ,slambert@yahoo.biz,slambertk9544,RQ650GGL443Z,3.75,4,2,4,5,4
70,Stephen , Langdon ,slangdon@yahoo.biz,slangdonu3464,WU285XKU444J,2.75,4,4,1,2,3
71,Steven , Lawrence ,slawrence@yahoo.biz,slawrencek9282,ZD526WFZ528I,4.75,5,5,5,4,6
72,Stewart , Lee ,slee@yahoo.biz,sleea8664,QF683BCG143U,3,5,2,4,1,4
73,Thomas , Lewis ,tlewis@yahoo.biz,tlewisc5703,DQ614PZG743Z,4,3,5,5,3,6
74,Tim , Lyman ,tlyman@yahoo.biz,tlymano2553,FO686KPT806B,3,2,3,4,3,4
75,Trevor , MacDonald ,tmacdonald@yahoo.biz,tmacdonaldm3289,TP754WLF357I,2.75,3,3,4,1,4
76,Victor , Mackay ,vmackay@yahoo.biz,vmackayl1833,SB926LTO638Y,4,2,4,5,5,5
77,Warren , Mackenzie ,wmackenzie@yahoo.biz,wmackenziei7728,FK126TTX930E,3.75,3,5,4,3,5
78,William , MacLeod ,wmacleod@yahoo.biz,wmacleodr3735,ZG184YCF944Y,2.75,5,1,3,2,3
79,Abigail , Manning ,amanning@yahoo.biz,amanningz6909,DL228CBW298L,3.25,2,5,3,3,4
80,Alexandra , Marshall ,amarshall@yahoo.biz,amarshalln3925,TG113EDV465C,2.5,3,3,2,2,3
81,Alison , Martin ,amartin@yahoo.biz,amartini6617,FB931WHI112C,2.5,3,1,4,2,3
82,Amanda , Mathis ,amathis@yahoo.biz,amathisu3551,DL369YHM538J,3.5,2,5,5,2,5
83,Amelia , May ,amay@yahoo.biz,amayt8372,DC487MEG270Y,3,5,2,3,2,3
84,Amy , McDonald ,amcdonald@yahoo.biz,amcdonaldy4067,BS796BIC396Z,3.5,4,2,5,3,4
85,Andrea , McLean ,amclean@yahoo.biz,amcleanu6476,FP395UWE443P,3.5,5,4,4,1,5
